model,tailup,taildown,euclid,AIC,AICc,pseudo_r2,tailup_de,tailup_range,taildown_de,taildown_range,euclid_de,euclid_range,nugget,tailup_prop,taildown_prop,euclid_prop,nugget_prop,total_spatial_de,rank_aic,rank_pseudo_r2,rank_total_spatial_de,range_flag
epa_none_jbessel,epa,none,jbessel,-150.02070018423976,-149.11160927514885,0.5967622023704022,0.0030915910942352397,61230.215908746446,NA,NA,0.0018479440596312078,63058.60481912127,2.014126393795543e-4,0.24249349227947753,0,0.1449462088931058,0.01579809645701444,0.0049395351538664475,1,3,31,FALSE
epa_mariah_none,epa,mariah,none,-150.01226306020445,-149.10317215111354,0.5963913967028582,0.0031482172585702204,62131.27265314798,0.0018708677785650714,0.08323985069894496,NA,NA,2.1143383778145832e-4,0.24292954504015765,0.14436394344763606,0,0.016315114809348063,0.005019085037135292,2,5,28,FALSE
linear_mariah_none,linear,mariah,none,-149.81074765740053,-148.90165674830962,0.596392453372023,0.0030874787556445273,53307.691799848755,0.0018595458627182675,39.224186595952496,NA,NA,2.1283392478903035e-4,0.24150462951848806,0.14545490679972722,0,0.016648010309761773,0.0049470246183627945,3,4,30,FALSE
linear_none_jbessel,linear,none,jbessel,-149.73746320607032,-148.8283722969794,0.5893170003390473,0.003135142350665913,58040.658724817586,NA,NA,0.001779374744719024,47883.51589452027,2.0557322760670615e-4,0.25147010769592415,0,0.14272384110114134,0.016489050863887203,0.004914517095384937,4,10,33,FALSE
epa_none_none,epa,none,none,-148.27381407708478,-147.9208729006142,0.59637486451999,0.0031758423546920755,58665.39729801469,NA,NA,NA,NA,0.0017819925098768888,0.25855032200375383,0,0,0.14507481347625617,0.0031758423546920755,5,6,47,FALSE
linear_none_none,linear,none,none,-148.08642039754616,-147.73347922107558,0.6000866605365399,0.0030942352762017107,50221.28084128694,NA,NA,NA,NA,0.0018315367956650045,0.25121462063966793,0,0,0.14869871882379218,0.0030942352762017107,6,2,48,FALSE
mariah_none_jbessel,mariah,none,jbessel,-146.88919704004812,-145.9801061309572,0.5924413046141115,0.0036720072563215383,566439.2491860085,NA,NA,0.001697149665696071,0.24974200936755167,2.2494779243602145e-4,0.26752421758699396,0,0.12364589848283591,0.016388579316058575,0.00536915692201761,7,8,21,FALSE
linear_mariah_gaussian,linear,mariah,gaussian,-146.04700294207376,-144.29700294207376,0.33637589329168094,0.0026328565966225797,46049.074028013485,0.0018866287070943438,376.9514590687436,0.009670899288782408,58002.87493833741,1.9140834148283423e-4,0.121488823754117,0.08705536897819081,0.4462476918590505,0.008832222116960727,0.014190384592499331,8,47,1,FALSE
epa_mariah_jbessel,epa,mariah,jbessel,-146.0072792896623,-144.2572792896623,0.5887928073414674,0.003127307664890969,62654.48406713655,8.591908705893711e-5,10359752.22636028,0.001854302230248916,85831.66244680094,2.0141516542612764e-4,0.24406624352603848,0.0067054319794251985,0.14471635930793103,0.01571915784513785,0.005067528982198822,9,11,27,TRUE
epa_exponential_jbessel,epa,exponential,jbessel,-145.99813889638207,-144.24813889638207,0.5838730853154903,0.003038171575112209,61668.226926864656,3.014009822896186e-4,576831.0475215864,0.0018269657979826143,223763.563948977,2.0087797741175268e-4,0.23554441940876844,0.023367119870449947,0.1416416379149353,0.015573737490356013,0.0051665383553844415,10,12,25,FALSE
epa_linear_jbessel,epa,linear,jbessel,-145.98840272790747,-144.23840272790747,0.5785184087500463,0.003179331494945731,64840.8294768455,2.0332426112416746e-4,467726.4478680208,0.0018000012221951697,149430.2886521501,2.0072262457444592e-4,0.24891978579664148,0.015918891001692186,0.14092771369541082,0.015715200756209163,0.005182656978265069,11,13,24,FALSE
epa_mariah_gaussian,epa,mariah,gaussian,-145.98596488680008,-144.23596488680008,0.5440001447658296,0.0030666884346931098,60457.11958259579,0.0018577215204784317,117.74622054355402,5.019378412546126e-4,92598.22169718683,2.0428575098128265e-4,0.24835739539687232,0.1504485662707734,0.04064970327433975,0.016544190292184888,0.005426347796426154,12,26,20,FALSE
linear_mariah_jbessel,linear,mariah,jbessel,-145.823237915107,-144.073237915107,0.5944373306422849,0.0031204073854841554,53141.40483502656,1.8052092519386788e-6,561122.6911566303,0.0018153317362879253,782552.0372239812,2.0792826069342165e-4,0.24594839952652067,1.4228537222100488e-4,0.143083219590714,0.016388764868259503,0.004937544331024019,13,7,32,FALSE
linear_exponential_jbessel,linear,exponential,jbessel,-145.79283402886986,-144.04283402886986,0.576992153080047,0.003112742979808875,53198.52203601915,6.396657818502689e-4,873123.4993573928,0.0018082672250750488,1079014.8649923573,2.1676598191172844e-4,0.22790617595986928,0.046834506793370374,0.13239617631575953,0.015870987850953748,0.005560675986734193,14,14,19,TRUE
linear_linear_jbessel,linear,linear,jbessel,-145.75111106488495,-144.00111106488495,0.5672847431886994,0.0031397021868952704,52755.40644589033,6.426494539507442e-4,585750.8259796654,0.0018476787926387274,54224.832258376075,2.1125746677745888e-4,0.23258518691612598,0.047606662820618005,0.1368737197879893,0.015649687286567328,0.005630030433484742,15,16,18,FALSE
mariah_none_none,mariah,none,none,-145.3390212168836,-144.98608004041301,0.573883686273972,0.003334635083734001,1537651.100362483,NA,NA,NA,NA,0.0019283898397889844,0.26998587887192843,0,0,0.15613043485409955,0.003334635083734001,16,15,45,TRUE
epa_none_gaussian,epa,none,gaussian,-145.08068546516475,-144.17159455607384,0.3517879795922796,0.002954223643412035,56737.99250456523,NA,NA,0.005411274271042955,43243.96158920072,0.0017430937935495213,0.18943917530233262,0,0.34699720094892406,0.11177564415646382,0.00836549791445499,17,39,12,FALSE
mariah_mariah_none,mariah,mariah,none,-144.88375116066643,-143.97466025157553,0.6364777682540778,0.0020224424369590125,588839.6796520035,0.0023931602022316855,669.925635080584,NA,NA,2.2317749070780408e-4,0.15849054442618912,0.18754217990060676,0,0.017489507419126353,0.004415602639190698,18,1,34,FALSE
epa_none_cubic,epa,none,cubic,-144.80229389728837,-143.89320298819746,0.3981990241804779,0.0028905057026784144,61023.884566590175,NA,NA,0.0020810731540178962,77965.7922491903,0.001808196752867441,0.2565732632846964,0,0.18472467629653108,0.16050303623829468,0.00497157885669631,19,31,29,FALSE
linear_none_gaussian,linear,none,gaussian,-144.50935233896118,-143.60026142987027,0.4319592837543169,0.003051241231984146,55443.93123336761,NA,NA,0.0012350082654311663,31242.699788966987,0.001882040964723667,0.2809902136569623,0,0.1137324813043235,0.17331802128439724,0.004286249497415313,20,30,35,FALSE
epa_exponential_none,epa,exponential,none,-144.31721900676726,-143.40812809767635,0.5914425736440918,0.0031873172692938926,62061.885568291116,4.983117395179281e-5,173573.87531367986,NA,NA,0.0018624615677946734,0.25535327950632736,0.003992245708585993,0,0.14921190114099483,0.0032371484432456854,21,9,46,FALSE
linear_none_cubic,linear,none,cubic,-144.2969564961359,-143.38786558704498,0.5187903195700979,0.003128723724454155,52883.5162354148,NA,NA,3.500567299357906e-4,88704.72942402017,0.001866786574611038,0.2816487260247504,0,0.031512220542900864,0.16804873386225083,0.0034787804543899457,22,29,43,FALSE
epa_linear_none,epa,linear,none,-144.286515901677,-143.3774249925861,0.5331441915466932,0.0032713129179612645,64399.51819410936,2.8674364672323036e-4,75440.78026984472,NA,NA,0.0018661694224319772,0.281557486846235,0.02467963859318987,0,0.1606186830138819,0.003558056564684495,23,27,39,FALSE
linear_linear_none,linear,linear,none,-144.13434395051482,-143.2252530414239,0.5480753277780466,0.003181619407425404,53210.40392149307,2.1657968194611796e-4,74440.8701895202,NA,NA,0.001877523270359593,0.27254131468529624,0.01855247397408964,0,0.16083088356256758,0.0033981990893715217,24,24,44,FALSE
linear_exponential_none,linear,exponential,none,-144.10111910723415,-143.19202819814325,0.563683430023803,0.0031972573504801855,52692.66922791624,3.385325957256088e-4,191853.1065830054,NA,NA,0.0018543815118535342,0.25880741852968037,0.027403095085460724,0,0.15010605636105592,0.0035357899462057944,25,21,41,FALSE
mariah_mariah_jbessel,mariah,mariah,jbessel,-143.12293227211947,-141.37293227211947,0.5637461805160902,0.003345269134642431,1935293.1032771354,7.663623920929904e-6,43.77963797873426,0.0018821400799095573,186171.25451096744,2.06303272419619e-4,0.26820172093379047,6.144190621011008e-4,0.15089763727609962,0.016540042211918658,0.005235072838472918,26,20,22,TRUE
