model,tailup,taildown,euclid,AIC,AICc,pseudo_r2,tailup_de,tailup_range,taildown_de,taildown_range,euclid_de,euclid_range,nugget,tailup_prop,taildown_prop,euclid_prop,nugget_prop,total_spatial_de,rank_aic,rank_pseudo_r2,rank_total_spatial_de,range_flag
epa_none_jbessel,epa,none,jbessel,-141.2897943095331,-140.3807034004422,0.6003001307425444,0.002819575432151659,116819.31954496639,NA,NA,0.002041564321584924,244046.30768975287,2.1352590628051995e-4,0.2220804299427982,0,0.16080133098175967,0.016818108332897715,0.004861139753736583,1,2,16,FALSE
linear_mariah_none,linear,mariah,none,-141.1851568707481,-140.2760659616572,0.597643922222314,0.0028384297910068984,108048.24220842076,0.0020584568638394416,15.38402491205982,NA,NA,2.0370233313357264e-4,0.22390737235410632,0.16237980201126054,0,0.016068903412319143,0.00489688665484634,2,4,15,FALSE
linear_none_jbessel,linear,none,jbessel,-141.1756921825922,-140.2666012735013,0.5956430872819654,0.002957287608012826,97354.18530870299,NA,NA,0.00197234441094869,242556.11416580458,2.1685840946144397e-4,0.23235245529482057,0,0.154966011871564,0.017038445551650083,0.004929632018961516,3,9,10,FALSE
epa_mariah_none,epa,mariah,none,-141.1372389128659,-140.228148003775,0.5914821575498734,0.0028304078548716228,150752.46055991165,0.002091720043452047,172.59213145869327,NA,NA,1.9786656473229204e-4,0.22583464073433868,0.1668956803228042,0,0.01578752139298373,0.00492212789832367,4,17,12,FALSE
mariah_none_jbessel,mariah,none,jbessel,-140.890311546224,-139.9812206371331,0.590166691557908,0.0028035287529317994,4835475.820689907,NA,NA,0.0020953155912449475,4587.395859055226,1.9112509841596982e-4,0.22573405932694696,0,0.16871027040052264,0.015388978714622316,0.004898844344176747,5,19,14,TRUE
epa_none_none,epa,none,none,-139.02937748602378,-138.6764363095532,0.5969168055618188,0.0030260982577215503,110156.52636302347,NA,NA,NA,NA,0.0020721841787665093,0.2392510355402068,0,0,0.16383215889797434,0.0030260982577215503,6,6,47,FALSE
mariah_none_none,mariah,none,none,-138.5777549601476,-138.224813783677,0.5839196070512174,0.0030939243170734773,4173292.021352168,NA,NA,NA,NA,0.002043647427084798,0.2505699793030603,0,0,0.16551041364572233,0.0030939243170734773,7,31,42,TRUE
linear_none_none,linear,none,none,-138.57072886790056,-138.21778769142998,0.6108125882671327,0.002824984176835492,53230.2170903903,NA,NA,NA,NA,0.0019698006428616574,0.2293008594363477,0,0,0.1598865522965196,0.002824984176835492,8,1,48,FALSE
epa_linear_jbessel,epa,linear,jbessel,-137.2815907594077,-135.5315907594077,0.5992662284523445,0.002820636055707346,114036.83692933575,4.8249207902903184e-5,912653.6956779748,0.002048693891450618,92431.7045796349,2.1215462771036805e-4,0.22034752145681,0.0037692184187133296,0.16004355481857602,0.016573476853556236,0.004917579155060867,9,3,13,FALSE
epa_mariah_gaussian,epa,mariah,gaussian,-137.27513919387545,-135.52513919387545,0.5871018947212197,0.0028300690180292206,120586.51323994515,0.0020362644887337326,2.9934846145277603,0.004281619793536887,722421.7072636952,2.058878040589872e-4,0.1249251641454457,0.08988497237277522,0.1889996505768829,0.009088318183676456,0.009147953300299841,10,24,1,FALSE
epa_mariah_jbessel,epa,mariah,jbessel,-137.26789807279292,-135.51789807279292,0.5958311192220798,0.0028797666266170913,122275.4441626659,1.3418982496888965e-5,869801.5694130163,0.00205915500710212,436185.39833263523,2.0767776962801613e-4,0.22556354790798577,0.0010510689558442126,0.16128748239577617,0.016266781518314104,0.0049523406162161,11,8,9,FALSE
linear_mariah_gaussian,linear,mariah,gaussian,-137.1877772221304,-135.4377772221304,0.5955763014637451,0.0027856039234598704,101769.61776974925,0.0020425565024559476,0.460314369277782,0.0010319890064738578,526657.8842117599,2.0558015286696891e-4,0.18572609041474075,0.13618448425401747,0.06880636615607617,0.013706757711420544,0.0058601494323896755,12,10,2,FALSE
linear_exponential_jbessel,linear,exponential,jbessel,-137.15484186554298,-135.40484186554298,0.5947178609452342,0.002755916919467114,110236.12676110903,7.549866435569332e-4,3176881.8488414865,0.0020935692311736154,135887.98690327565,2.020685695317577e-4,0.1923561435652076,0.052696189123848027,0.14612592300975522,0.01410388335595497,0.005604472794197663,13,12,5,TRUE
linear_mariah_jbessel,linear,mariah,jbessel,-137.15162055307806,-135.40162055307806,0.5924241563552104,0.0028583599718726475,107636.02122560797,2.161878772020025e-5,854276.5227202564,0.0019745761389675398,538566.4834671875,2.0629563740340718e-4,0.2301981591231932,0.0017410701187523215,0.159022585227821,0.016614029175023002,0.004854554898560387,14,15,17,FALSE
epa_exponential_jbessel,epa,exponential,jbessel,-137.07066564852792,-135.32066564852792,0.5642383772864037,0.002747733470401713,110143.28460286892,9.90223452746996e-4,541975.5534015396,0.0020009967228103703,118365.98497099793,2.314534892815131e-4,0.20054860057687862,0.07227335905974237,0.14604658597395592,0.016893077103019336,0.005738953645959079,15,48,3,FALSE
