covariate,importance,pvalue,pvalue_fdr_bh
high_cascades_upstream_pct,0.004386574036490684,0.001996007984031936,0.011976047904191616
lakes_upstream_pct,0.0011864205842716522,0.011976047904191617,0.035928143712574856
shrub_upstream_pct,4.0128449326365666e-4,0.13373253493013973,0.24550898203592814
channel_slope,3.72543671596974e-4,0.16367265469061876,0.24550898203592814
wetlands_upstream_pct,3.0827940416876894e-4,0.2275449101796407,0.27305389221556886
burned_reach_pct,2.9705340860707584e-5,0.47105788423153694,0.47105788423153694
